Freq,Power,Theor.AR(1),chi2 80%,chi2 90%,chi2 95%,chi2 99%,chi2 crit.
0,1.0039E-28,6.9882,10.738,14.337,17.819,25.65,37.921
0.00014987,0.28555,6.9876,10.737,14.336,17.818,25.648,37.917
0.00029973,2.4911,6.9857,10.734,14.332,17.813,25.641,37.907
0.0004496,12.541,6.9827,10.73,14.326,17.805,25.63,37.891
0.00059946,27.689,6.9784,10.723,14.317,17.794,25.614,37.867
0.00074933,31.212,6.9728,10.715,14.305,17.78,25.593,37.837
0.0008992,27.331,6.9661,10.704,14.292,17.763,25.569,37.801
0.0010491,19.634,6.9582,10.692,14.275,17.743,25.54,37.758
0.0011989,7.8628,6.949,10.678,14.257,17.719,25.506,37.708
0.0013488,1.3246,6.9387,10.662,14.235,17.693,25.468,37.652
0.0014987,2.4738,6.9272,10.644,14.212,17.663,25.426,37.59
0.0016485,6.0073,6.9145,10.625,14.186,17.631,25.379,37.521
0.0017984,7.5851,6.9007,10.604,14.157,17.596,25.329,37.446
0.0019483,4.2284,6.8857,10.581,14.127,17.558,25.274,37.364
0.0020981,1.7496,6.8696,10.556,14.094,17.517,25.214,37.277
0.002248,2.3445,6.8524,10.529,14.058,17.473,25.151,37.184
0.0023979,5.9595,6.8341,10.501,14.021,17.426,25.084,37.084
0.0025477,8.5331,6.8147,10.472,13.981,17.377,25.013,36.979
0.0026976,7.9811,6.7943,10.44,13.939,17.325,24.938,36.868
0.0028475,4.3593,6.7728,10.407,13.895,17.27,24.859,36.752
0.0029973,2.1097,6.7503,10.373,13.849,17.213,24.777,36.63
0.0031472,2.6028,6.7269,10.337,13.801,17.153,24.691,36.503
0.0032971,4.4799,6.7024,10.299,13.751,17.09,24.601,36.37
0.0034469,6.5582,6.6771,10.26,13.699,17.026,24.508,36.232
0.0035968,6.0254,6.6508,10.22,13.645,16.959,24.411,36.09
0.0037466,4.9854,6.6236,10.178,13.589,16.889,24.311,35.942
0.0038965,4.0492,6.5955,10.135,13.531,16.818,24.208,35.79
0.0040464,4.0205,6.5666,10.09,13.472,16.744,24.102,35.633
0.0041962,3.8535,6.5368,10.045,13.411,16.668,23.993,35.471
0.0043461,3.1439,6.5063,9.9976,13.348,16.59,23.881,35.306
0.004496,2.6329,6.475,9.9495,13.284,16.51,23.766,35.136
0.0046458,1.842,6.4429,9.9002,13.218,16.429,23.648,34.962
0.0047957,1.8213,6.4101,9.8499,13.151,16.345,23.528,34.784
0.0049456,1.4462,6.3767,9.7984,13.082,16.26,23.405,34.602
0.0050954,0.92084,6.3425,9.746,13.012,16.173,23.28,34.417
0.0052453,0.70508,6.3078,9.6926,12.941,16.084,23.152,34.229
0.0053952,0.53341,6.2724,9.6382,12.868,15.994,23.023,34.037
0.005545,0.79397,6.2364,9.583,12.795,15.902,22.891,33.841
0.0056949,0.98197,6.1999,9.5269,12.72,15.809,22.757,33.643
0.0058448,0.87895,6.1629,9.4699,12.644,15.715,22.621,33.442
0.0059946,0.84455,6.1253,9.4122,12.567,15.619,22.483,33.239
0.0061445,1.1219,6.0873,9.3538,12.489,15.522,22.343,33.032
0.0062944,1.3444,6.0488,9.2947,12.41,15.424,22.202,32.824
0.0064442,1.497,6.01,9.2349,12.33,15.325,22.059,32.612
0.0065941,1.4214,5.9707,9.1746,12.249,15.225,21.915,32.399
0.006744,1.1229,5.931,9.1136,12.168,15.123,21.769,32.184
0.0068938,1.0352,5.891,9.0521,12.086,15.021,21.623,31.967
0.0070437,0.99943,5.8507,8.9902,12.003,14.918,21.475,31.748
0.0071936,0.86505,5.81,8.9277,11.92,14.815,21.325,31.528
0.0073434,0.98016,5.7691,8.8649,11.836,14.711,21.175,31.306
0.0074933,1.4969,5.728,8.8016,11.751,14.606,21.024,31.082
0.0076432,2.1495,5.6866,8.738,11.667,14.5,20.872,30.858
0.007793,3.3643,5.645,8.6741,11.581,14.394,20.72,30.632
0.0079429,3.3942,5.6032,8.61,11.496,14.288,20.566,30.405
0.0080928,3.1457,5.5613,8.5455,11.41,14.181,20.412,30.178
0.0082426,2.399,5.5192,8.4809,11.323,14.073,20.258,29.95
0.0083925,1.407,5.477,8.4161,11.237,13.966,20.103,29.721
0.0085424,1.0147,5.4348,8.3511,11.15,13.858,19.948,29.491
0.0086922,0.52708,5.3924,8.286,11.063,13.75,19.793,29.261
0.0088421,0.35858,5.35,8.2208,10.976,13.642,19.637,29.031
0.008992,0.34331,5.3075,8.1555,10.889,13.534,19.481,28.801
0.0091418,0.75365,5.265,8.0903,10.802,13.425,19.325,28.57
0.0092917,1.0992,5.2225,8.025,10.714,13.317,19.169,28.34
0.0094416,1.7558,5.18,7.9597,10.627,13.208,19.013,28.109
0.0095914,2.1342,5.1376,7.8944,10.54,13.1,18.857,27.879
0.0097413,2.5553,5.0952,7.8293,10.453,12.992,18.702,27.648
0.0098912,3.2171,5.0528,7.7642,10.366,12.884,18.546,27.419
0.010041,3.0837,5.0105,7.6992,10.28,12.776,18.391,27.189
0.010191,2.8923,4.9683,7.6344,10.193,12.669,18.236,26.96
0.010341,1.7721,4.9262,7.5697,10.107,12.561,18.082,26.732
0.010491,0.76611,4.8842,7.5052,10.02,12.454,17.927,26.504
0.01064,0.24524,4.8424,7.4409,9.9346,12.348,17.774,26.277
0.01079,0.21978,4.8007,7.3768,9.849,12.241,17.621,26.05
0.01094,0.51824,4.7591,7.3129,9.7637,12.135,17.468,25.825
0.01109,0.67789,4.7177,7.2492,9.6788,12.03,17.316,25.6
0.01124,0.64332,4.6765,7.1859,9.5942,11.924,17.165,25.376
0.01139,0.42529,4.6354,7.1228,9.51,11.82,17.014,25.154
0.01154,0.38054,4.5945,7.06,9.4261,11.716,16.864,24.932
0.01169,0.3967,4.5539,6.9975,9.3427,11.612,16.715,24.711
0.011839,0.61752,4.5134,6.9353,9.2597,11.509,16.566,24.492
0.011989,1.0926,4.4732,6.8735,9.1771,11.406,16.419,24.273
0.012139,1.4927,4.4332,6.812,9.095,11.304,16.272,24.056
0.012289,1.6962,4.3934,6.7509,9.0134,11.203,16.126,23.84
0.012439,1.4497,4.3538,6.6901,8.9323,11.102,15.98,23.626
0.012589,0.70618,4.3145,6.6297,8.8516,11.002,15.836,23.412
0.012739,0.48837,4.2755,6.5697,8.7715,10.902,15.693,23.2
0.012888,0.85656,4.2367,6.5101,8.6919,10.803,15.551,22.99
0.013038,2.2505,4.1981,6.4509,8.6129,10.705,15.409,22.781
0.013188,3.8013,4.1599,6.3921,8.5344,10.607,15.269,22.573
0.013338,4.4761,4.1219,6.3337,8.4564,10.51,15.129,22.367
0.013488,4.2706,4.0842,6.2758,8.379,10.414,14.991,22.162
0.013638,2.7748,4.0467,6.2182,8.3022,10.319,14.853,21.959
0.013788,1.5797,4.0096,6.1611,8.226,10.224,14.717,21.758
0.013938,0.94189,3.9727,6.1045,8.1504,10.13,14.582,21.558
0.014087,1.0407,3.9361,6.0483,8.0753,10.037,14.447,21.359
0.014237,1.8417,3.8998,5.9925,8.0009,9.9442,14.314,21.162
0.014387,2.0359,3.8639,5.9372,7.9271,9.8524,14.182,20.967
0.014537,2.1717,3.8282,5.8824,7.8538,9.7614,14.051,20.773
