:			-	-	-	-	-	-	
			A	B	C	D	E	F	
Black	Dot	1	0	0	0	0		-4.29406471184107	
Black	Dot	2	0.0167	0.40909	1.79626	3.43		-0.863250904508374	
Black	Dot	3	0.01716	0.41135	1.49793	3.37		-0.922437097175677	
Black	Dot	4	0.0175	0.41355	1.20002	3.54		-0.751623289842979	
Black	Dot	5	0.01785	0.41564	0.90349	3.87		-0.420809482510282	
Black	Dot	6	0.01821	0.41755	0.61138	4.36		0.0700043248224162	
Black	Dot	7	0.01845	0.41925	0.31554	4.9		0.610818132155114	
Black	Dot	8	0.01875	0.42067	0.02457	5.01		0.721631939487811	
Black	Dot	9	0.01894	0.42178	6.01864	4.96		0.672445746820509	
Black	Dot	10	0.01918	0.42254	5.72724	4.87		0.583259554153206	
Black	Dot	11	0.01933	0.42292	5.43836	4.67		0.384073361485904	
Black	Dot	12	0.01942	0.42291	5.15337	4.58		0.294887168818601	
Black	Dot	13	0.0196	0.42249	4.86346	4.61		0.325700976151299	
Black	Dot	14	0.01961	0.42166	4.57943	4.57		0.286514783483997	
Black	Dot	15	0.01965	0.42044	4.29235	4.49		0.207328590816694	
Black	Dot	16	0.01968	0.41883	4.00845	4.58		0.298142398149392	
Black	Dot	17	0.01963	0.41689	3.72275	4.57		0.288956205482089	
Black	Dot	18	0.01956	0.41463	3.43673	4.57		0.289770012814787	
Black	Dot	19	0.01949	0.41212	3.15396	4.48		0.200583820147485	
Black	Dot	20	0.01935	0.40941	2.86764	4.45		0.171397627480182	
Black	Dot	21	0.01922	0.40658	2.5814	4.42		0.142211434812879	
Black	Dot	22	0.019	0.40368	2.29839	4.47		0.193025242145577	
Black	Dot	23	0.01884	0.4008	2.01122	4.61		0.333839049478275	
Black	Dot	24	0.01862	0.39803	1.72591	4.6		0.324652856810972	
Black	Dot	25	0.01834	0.39543	1.44053	4.5		0.22546666414367	
Black	Dot	26	0.01809	0.3931	1.15533	4.34		0.0662804714763672	
Black	Dot	27	0.01787	0.39111	0.87127	4.26		-0.0129057211909353	
Black	Dot	28	0.01751	0.38951	0.58474	4.11		-0.162091913858237	
Black	Dot	29	0.01728	0.38837	0.30568	4.02		-0.25127810652554	
Black	Dot	30	0.01697	0.38772	0.02273	4.13		-0.140464299192843	
Black	Dot	31	0.01665	0.38759	6.0259	4.32		0.0503495081398554	
Black	Dot	32	0.01637	0.38798	5.75116	4.32		0.051163315472553	
Black	Dot	33	0.01605	0.3889	5.47744	4.21		-0.0580228771947497	
Black	Dot	34	0.01578	0.3903	5.20339	4.1		-0.167209069862052	
Black	Dot	35	0.01545	0.39215	4.93958	4.09		-0.176395262529355	
Black	Dot	36	0.01517	0.39439	4.67381	4.05		-0.215581455196657	
Black	Dot	37	0.01494	0.39696	4.41376	4.19		-0.074767647863959	
Black	Dot	38	0.01465	0.39978	4.15736	4.29		0.0260461594687382	
Black	Dot	39	0.01442	0.40277	3.90472	4.04		-0.223140033198564	
Black	Dot	40	0.01427	0.40585	3.65779	3.73		-0.532326225865867	
Black	Dot	41	0.01404	0.40894	3.40994	3.42		-0.841512418533169	
Black	Dot	42	0.01393	0.41197	3.17019	3.29		-0.970698611200472	
Black	Dot	43	0.01382	0.41485	2.93298	3.35		-0.909884803867774	
Black	Dot	44	0.01374	0.41753	2.69392	3.78		-0.479070996535077	
Black	Dot	45	0.01372	0.41994	2.46169	4.35		0.0917428107976208	
Black	Dot	46	0.01371	0.42203	2.23215	4.48		0.222556618130319	
