Freq,Power,Theor.AR(1),chi2 80%,chi2 90%,chi2 95%,chi2 99%,chi2 crit.
0,6.3668E-32,0.0064567,0.0099213,0.013246,0.016464,0.023699,0.035029
0.12221,0.0070567,0.0064546,0.0099182,0.013242,0.016459,0.023691,0.035018
0.24442,0.037404,0.0064485,0.0099089,0.01323,0.016443,0.023669,0.034985
0.36663,0.018223,0.0064384,0.0098933,0.013209,0.016417,0.023632,0.03493
0.48884,0.0028033,0.0064243,0.0098717,0.01318,0.016381,0.02358,0.034853
0.61105,0.0078544,0.0064063,0.0098439,0.013143,0.016335,0.023514,0.034755
0.73326,0.0019843,0.0063844,0.0098103,0.013098,0.016279,0.023434,0.034637
0.85547,0.010306,0.0063587,0.0097708,0.013045,0.016214,0.023339,0.034497
0.97768,0.0028725,0.0063293,0.0097256,0.012985,0.016139,0.023231,0.034338
1.0999,0.0062956,0.0062963,0.0096749,0.012917,0.016055,0.02311,0.034159
1.2221,0.0070851,0.0062598,0.0096188,0.012843,0.015962,0.022976,0.033961
1.3443,0.0041483,0.00622,0.0095576,0.012761,0.01586,0.02283,0.033745
1.4665,0.003685,0.0061769,0.0094915,0.012672,0.01575,0.022672,0.033511
1.5887,0.0022992,0.0061308,0.0094206,0.012578,0.015633,0.022503,0.033261
1.7109,0.001036,0.0060818,0.0093453,0.012477,0.015508,0.022323,0.032995
1.8331,0.0010256,0.00603,0.0092657,0.012371,0.015376,0.022133,0.032714
1.9554,0.00089945,0.0059756,0.0091821,0.012259,0.015237,0.021933,0.032419
2.0776,0.0012722,0.0059187,0.0090948,0.012143,0.015092,0.021724,0.03211
2.1998,0.0015913,0.0058596,0.0090039,0.012022,0.014941,0.021507,0.03179
2.322,0.001128,0.0057984,0.0089098,0.011896,0.014785,0.021283,0.031458
2.4442,0.0014903,0.0057352,0.0088128,0.011766,0.014624,0.021051,0.031115
2.5664,0.0030149,0.0056703,0.008713,0.011633,0.014459,0.020813,0.030763
2.6886,0.0038952,0.0056038,0.0086108,0.011497,0.014289,0.020568,0.030402
2.8108,0.0019038,0.0055358,0.0085064,0.011357,0.014116,0.020319,0.030033
2.933,0.00062431,0.0054665,0.0083999,0.011215,0.013939,0.020065,0.029657
3.0552,0.0011967,0.0053962,0.0082918,0.011071,0.01376,0.019806,0.029275
3.1774,0.0028214,0.0053248,0.0081822,0.010924,0.013578,0.019545,0.028888
3.2997,0.0044353,0.0052527,0.0080713,0.010776,0.013394,0.01928,0.028497
3.4219,0.0022785,0.0051798,0.0079593,0.010627,0.013208,0.019012,0.028102
3.5441,0.00016516,0.0051064,0.0078466,0.010476,0.013021,0.018743,0.027703
3.6663,0.00067116,0.0050326,0.0077332,0.010325,0.012833,0.018472,0.027303
3.7885,0.00032547,0.0049585,0.0076193,0.010173,0.012644,0.0182,0.026901
3.9107,0.00049654,0.0048843,0.0075052,0.010021,0.012454,0.017927,0.026498
4.0329,0.0016372,0.00481,0.007391,0.0098681,0.012265,0.017655,0.026095
4.1551,0.0012642,0.0047357,0.0072769,0.0097157,0.012075,0.017382,0.025692
4.2773,0.0010407,0.0046616,0.007163,0.0095636,0.011886,0.01711,0.02529
4.3995,0.0052108,0.0045877,0.0070495,0.0094121,0.011698,0.016839,0.024889
4.5218,0.0042913,0.0045141,0.0069364,0.0092611,0.011511,0.016569,0.02449
4.644,0.001319,0.004441,0.006824,0.0091111,0.011324,0.0163,0.024093
4.7662,0.002369,0.0043683,0.0067124,0.008962,0.011139,0.016034,0.023699
4.8884,0.0016034,0.0042962,0.0066016,0.008814,0.010955,0.015769,0.023308
5.0106,0.00085749,0.0042247,0.0064917,0.0086673,0.010772,0.015506,0.02292
5.1328,0.00094263,0.0041538,0.0063828,0.008522,0.010592,0.015246,0.022535
5.255,0.0011464,0.0040837,0.0062751,0.0083781,0.010413,0.014989,0.022155
5.3772,0.00019166,0.0040144,0.0061685,0.0082358,0.010236,0.014734,0.021779
5.4994,0.00038336,0.0039458,0.0060631,0.0080952,0.010061,0.014483,0.021407
5.6216,0.00058768,0.0038781,0.0059591,0.0079563,0.0098887,0.014234,0.021039
5.7438,0.0019266,0.0038113,0.0058564,0.0078192,0.0097183,0.013989,0.020677
5.8661,0.0027208,0.0037453,0.0057551,0.0076839,0.0095502,0.013747,0.020319
5.9883,0.002914,0.0036803,0.0056552,0.0075506,0.0093845,0.013509,0.019967
6.1105,0.0015724,0.0036163,0.0055568,0.0074192,0.0092212,0.013273,0.019619
6.2327,0.00082256,0.0035532,0.0054599,0.0072898,0.0090603,0.013042,0.019277
6.3549,0.00093364,0.0034911,0.0053645,0.0071624,0.008902,0.012814,0.01894
6.4771,0.00086923,0.00343,0.0052706,0.007037,0.0087462,0.01259,0.018609
6.5993,0.00079673,0.0033699,0.0051783,0.0069137,0.008593,0.012369,0.018283
6.7215,0.00070867,0.0033109,0.0050875,0.0067925,0.0084423,0.012152,0.017962
6.8437,0.00010547,0.0032528,0.0049983,0.0066734,0.0082942,0.011939,0.017647
6.9659,0.00092504,0.0031957,0.0049106,0.0065563,0.0081487,0.01173,0.017338
7.0882,0.0021917,0.0031397,0.0048245,0.0064414,0.0080059,0.011524,0.017033
7.2104,0.00079795,0.0030847,0.0047399,0.0063285,0.0078655,0.011322,0.016735
7.3326,0.000395,0.0030306,0.0046569,0.0062176,0.0077278,0.011124,0.016442
7.4548,0.00088529,0.0029776,0.0045754,0.0061089,0.0075926,0.010929,0.016154
7.577,0.00083848,0.0029256,0.0044955,0.0060022,0.00746,0.010738,0.015872
7.6992,0.00097532,0.0028746,0.0044171,0.0058975,0.0073299,0.010551,0.015595
7.8214,0.0022938,0.0028245,0.0043402,0.0057948,0.0072022,0.010367,0.015324
7.9436,0.0030001,0.0027755,0.0042648,0.0056941,0.0070771,0.010187,0.015057
8.0658,0.0027758,0.0027273,0.0041908,0.0055954,0.0069544,0.010011,0.014796
8.188,0.0036897,0.0026802,0.0041184,0.0054986,0.0068341,0.0098374,0.01454
8.3102,0.001154,0.0026339,0.0040473,0.0054038,0.0067162,0.0096677,0.01429
8.4325,0.0018887,0.0025886,0.0039777,0.0053108,0.0066007,0.0095014,0.014044
8.5547,0.0043962,0.0025442,0.0039095,0.0052197,0.0064875,0.0093384,0.013803
8.6769,0.0015369,0.0025007,0.0038426,0.0051304,0.0063765,0.0091788,0.013567
