Freq	Power	Theor.AR(1)	chi2 80%	chi2 90%	chi2 95%	chi2 99%	chi2 crit.
0	5.9655E-31	0.0064107	0.0098507	0.013152	0.016346	0.02353	0.034779
0.12221	0.0069116	0.0064087	0.0098476	0.013148	0.016341	0.023523	0.034768
0.24442	0.036596	0.0064027	0.0098384	0.013136	0.016326	0.023501	0.034736
0.36663	0.017788	0.0063927	0.0098231	0.013115	0.016301	0.023464	0.034682
0.48884	0.002862	0.0063788	0.0098018	0.013087	0.016265	0.023413	0.034606
0.61105	0.0077836	0.006361	0.0097744	0.01305	0.01622	0.023348	0.03451
0.73326	0.0019695	0.0063395	0.0097413	0.013006	0.016165	0.023269	0.034393
0.85547	0.010166	0.0063141	0.0097023	0.012954	0.0161	0.023176	0.034256
0.97768	0.0028258	0.0062852	0.0096578	0.012895	0.016026	0.023069	0.034098
1.0999	0.0061817	0.0062526	0.0096079	0.012828	0.015944	0.02295	0.033922
1.2221	0.007056	0.0062167	0.0095526	0.012754	0.015852	0.022818	0.033727
1.3443	0.0042055	0.0061774	0.0094923	0.012674	0.015752	0.022674	0.033514
1.4665	0.003666	0.006135	0.0094271	0.012587	0.015644	0.022518	0.033284
1.5887	0.0022877	0.0060896	0.0093573	0.012493	0.015528	0.022351	0.033037
1.7109	0.0010282	0.0060412	0.009283	0.012394	0.015404	0.022174	0.032775
1.8331	0.0010176	0.0059901	0.0092045	0.012289	0.015274	0.021987	0.032498
1.9554	0.0009015	0.0059365	0.0091221	0.012179	0.015137	0.02179	0.032207
2.0776	0.001271	0.0058804	0.0090359	0.012064	0.014994	0.021584	0.031903
2.1998	0.0015924	0.0058221	0.0089463	0.011945	0.014846	0.02137	0.031586
2.322	0.0011212	0.0057617	0.0088535	0.011821	0.014692	0.021148	0.031259
2.4442	0.0014835	0.0056994	0.0087578	0.011693	0.014533	0.020919	0.030921
2.5664	0.0029974	0.0056353	0.0086593	0.011561	0.014369	0.020684	0.030573
2.6886	0.0038762	0.0055697	0.0085584	0.011427	0.014202	0.020443	0.030217
2.8108	0.0018981	0.0055026	0.0084553	0.011289	0.014031	0.020197	0.029853
2.933	0.00062162	0.0054342	0.0083502	0.011149	0.013857	0.019946	0.029482
3.0552	0.001199	0.0053647	0.0082434	0.011006	0.013679	0.019691	0.029105
3.1774	0.0028105	0.0052942	0.0081352	0.010862	0.0135	0.019432	0.028722
3.2997	0.0044431	0.0052229	0.0080256	0.010715	0.013318	0.019171	0.028336
3.4219	0.0022837	0.005151	0.007915	0.010568	0.013134	0.018906	0.027945
3.5441	0.0001689	0.0050784	0.0078036	0.010419	0.012949	0.01864	0.027552
3.6663	0.00067147	0.0050055	0.0076915	0.010269	0.012763	0.018372	0.027156
3.7885	0.00032176	0.0049323	0.0075789	0.010119	0.012577	0.018104	0.026759
3.9107	0.00049453	0.0048588	0.0074661	0.0099683	0.012389	0.017834	0.02636
4.0329	0.0016269	0.0047853	0.0073532	0.0098176	0.012202	0.017564	0.025961
4.1551	0.0012546	0.0047119	0.0072403	0.0096668	0.012015	0.017295	0.025563
4.2773	0.0010432	0.0046385	0.0071276	0.0095164	0.011828	0.017026	0.025165
4.3995	0.0052145	0.0045654	0.0070153	0.0093664	0.011641	0.016757	0.024769
4.5218	0.0043021	0.0044927	0.0069034	0.0092171	0.011456	0.01649	0.024374
4.644	0.0013163	0.0044202	0.0067922	0.0090685	0.011271	0.016224	0.023981
4.7662	0.0023711	0.0043483	0.0066816	0.0089209	0.011088	0.01596	0.02359
4.8884	0.0016095	0.0042769	0.0065719	0.0087744	0.010906	0.015698	0.023203
5.0106	0.00085577	0.0042061	0.0064631	0.0086291	0.010725	0.015438	0.022819
5.1328	0.00094307	0.0041359	0.0063553	0.0084852	0.010546	0.015181	0.022438
5.255	0.0011477	0.0040664	0.0062485	0.0083427	0.010369	0.014926	0.022061
5.3772	0.00019048	0.0039977	0.0061429	0.0082017	0.010194	0.014673	0.021688
5.4994	0.00037984	0.0039298	0.0060385	0.0080623	0.01002	0.014424	0.02132
5.6216	0.0005877	0.0038627	0.0059354	0.0079246	0.0098493	0.014178	0.020956
5.7438	0.0019271	0.0037964	0.0058336	0.0077887	0.0096804	0.013935	0.020596
5.8661	0.0027202	0.003731	0.0057331	0.0076546	0.0095137	0.013695	0.020242
5.9883	0.0029269	0.0036666	0.0056341	0.0075223	0.0093494	0.013458	0.019892
6.1105	0.0015815	0.0036031	0.0055365	0.007392	0.0091874	0.013225	0.019547
6.2327	0.00082355	0.0035405	0.0054403	0.0072636	0.0090279	0.012995	0.019208
6.3549	0.00093573	0.0034789	0.0053457	0.0071373	0.0088708	0.012769	0.018874
6.4771	0.00086822	0.0034183	0.0052525	0.0070129	0.0087162	0.012547	0.018545
6.5993	0.00079659	0.0033586	0.0051609	0.0068905	0.0085641	0.012328	0.018221
6.7215	0.00071265	0.0033	0.0050708	0.0067702	0.0084146	0.012112	0.017903
6.8437	0.0001055	0.0032423	0.0049822	0.0066519	0.0082676	0.011901	0.01759
6.9659	0.00092425	0.0031857	0.0048951	0.0065357	0.0081231	0.011693	0.017283
7.0882	0.002191	0.00313	0.0048096	0.0064215	0.0079812	0.011489	0.016981
7.2104	0.00079574	0.0030754	0.0047256	0.0063094	0.0078419	0.011288	0.016685
7.3326	0.00039619	0.0030217	0.0046432	0.0061993	0.007705	0.011091	0.016393
7.4548	0.00088464	0.0029691	0.0045623	0.0060913	0.0075708	0.010898	0.016108
7.577	0.00083889	0.0029174	0.0044829	0.0059853	0.007439	0.010708	0.015827
7.6992	0.00097544	0.0028667	0.0044049	0.0058812	0.0073097	0.010522	0.015552
7.8214	0.0022956	0.0028169	0.0043285	0.0057792	0.0071829	0.010339	0.015282
7.9436	0.0030059	0.0027682	0.0042536	0.0056791	0.0070585	0.01016	0.015018
8.0658	0.0027766	0.0027203	0.0041801	0.005581	0.0069365	0.0099848	0.014758
8.188	0.0036947	0.0026734	0.004108	0.0054848	0.0068169	0.0098127	0.014504
8.3102	0.0011553	0.0026275	0.0040374	0.0053905	0.0066997	0.009644	0.014255
8.4325	0.0018957	0.0025824	0.0039681	0.005298	0.0065848	0.0094786	0.01401
8.5547	0.0044022	0.0025382	0.0039003	0.0052074	0.0064722	0.0093165	0.013771
8.6769	0.0015341	0.002495	0.0038338	0.0051187	0.0063619	0.0091577	0.013536
8.7991	0.00049499	0.0024526	0.0037687	0.0050317	0.0062538	0.0090021	0.013306
8.9213	0.00016541	0.002411	0.0037048	0.0049465	0.0061479	0.0088496	0.01308
9.0435	0.0010138	0.0023704	0.0036423	0.004863	0.0060441	0.0087003	0.01286
9.1657	0.00055909	0.0023305	0.003581	0.0047812	0.0059425	0.0085539	0.012643
9.2879	0.0045366	0.0022914	0.003521	0.0047011	0.0058429	0.0084106	0.012432
9.4101	0.0061907	0.0022532	0.0034623	0.0046226	0.0057454	0.0082702	0.012224
9.5323	0.0012805	0.0022157	0.0034047	0.0045458	0.0056499	0.0081327	0.012021
9.6546	0.0027353	0.002179	0.0033483	0.0044705	0.0055563	0.0079981	0.011822
9.7768	0.0039576	0.0021431	0.0032931	0.0043968	0.0054647	0.0078662	0.011627
9.899	0.00088855	0.0021079	0.003239	0.0043246	0.0053749	0.007737	0.011436
10.021	0.0020185	0.0020734	0.0031861	0.0042538	0.005287	0.0076105	0.011249
10.143	0.0031247	0.0020397	0.0031342	0.0041846	0.005201	0.0074866	0.011066
10.266	0.002503	0.0020066	0.0030834	0.0041168	0.0051167	0.0073652	0.010886
10.388	0.006815	0.0019742	0.0030336	0.0040503	0.0050341	0.0072464	0.010711
10.51	0.0056407	0.0019425	0.0029849	0.0039853	0.0049532	0.00713	0.010539
10.632	0.0029966	0.0019115	0.0029372	0.0039216	0.004874	0.007016	0.01037
10.754	0.0021678	0.0018811	0.0028904	0.0038592	0.0047965	0.0069043	0.010205
10.877	0.0025971	0.0018513	0.0028447	0.003798	0.0047205	0.006795	0.010044
