Time (Myr BP)	Eccentricity	Obliquity (radians)	Perihelion longitude (radians)	Precessional index
0	0.0167	0.40909	1.79626	0.01628
0.001	0.01716	0.41135	1.49793	0.01712
0.002	0.0175	0.41355	1.20002	0.01631
0.003	0.01785	0.41564	0.90349	0.01402
0.004	0.01821	0.41755	0.61138	0.01045
0.005	0.01845	0.41925	0.31554	0.00573
0.006	0.01875	0.42067	0.02457	0.00046
0.007	0.01894	0.42178	6.01864	-0.00495
0.008	0.01918	0.42254	5.72724	-0.01012
0.009	0.01933	0.42292	5.43836	-0.01445
0.01	0.01942	0.42291	5.15337	-0.01757
0.011	0.0196	0.42249	4.86346	-0.01937
0.012	0.01961	0.42166	4.57943	-0.01944
0.013	0.01965	0.42044	4.29235	-0.01794
0.014	0.01968	0.41883	4.00845	-0.015
0.015	0.01963	0.41689	3.72275	-0.01078
0.016	0.01956	0.41463	3.43673	-0.00569
0.017	0.01949	0.41212	3.15396	-0.00024
0.018	0.01935	0.40941	2.86764	0.00523
0.019	0.01922	0.40658	2.5814	0.01021
0.02	0.019	0.40368	2.29839	0.01419
0.021	0.01884	0.4008	2.01122	0.01704
0.022	0.01862	0.39803	1.72591	0.01839
0.023	0.01834	0.39543	1.44053	0.01819
0.024	0.01809	0.3931	1.15533	0.01656
0.025	0.01787	0.39111	0.87127	0.01367
0.026	0.01751	0.38951	0.58474	0.00966
0.027	0.01728	0.38837	0.30568	0.0052
0.028	0.01697	0.38772	0.02273	0.00039
0.029	0.01665	0.38759	6.0259	-0.00424
0.03	0.01637	0.38798	5.75116	-0.0083
0.031	0.01605	0.3889	5.47744	-0.01157
0.032	0.01578	0.3903	5.20339	-0.01391
0.033	0.01545	0.39215	4.93958	-0.01505
0.034	0.01517	0.39439	4.67381	-0.01516
0.035	0.01494	0.39696	4.41376	-0.01428
0.036	0.01465	0.39978	4.15736	-0.01245
0.037	0.01442	0.40277	3.90472	-0.00997
0.038	0.01427	0.40585	3.65779	-0.00704
0.039	0.01404	0.40894	3.40994	-0.00372
0.04	0.01393	0.41197	3.17019	-0.0004
0.041	0.01382	0.41485	2.93298	0.00286
0.042	0.01374	0.41753	2.69392	0.00595
0.043	0.01372	0.41994	2.46169	0.00863
0.044	0.01371	0.42203	2.23215	0.01082
0.045	0.01379	0.42375	1.99568	0.01257
0.046	0.01384	0.42507	1.76867	0.01357
0.047	0.01399	0.42597	1.53722	0.01398
0.048	0.01418	0.42644	1.30406	0.01368
0.049	0.01439	0.42646	1.07356	0.01264
0.05	0.0146	0.42606	0.8369	0.01084
0.051	0.01496	0.42524	0.60469	0.0085
0.052	0.01522	0.42403	0.3639	0.00542
0.053	0.01557	0.42246	0.12432	0.00193
0.054	0.01596	0.42058	6.16729	-0.00185
0.055	0.01633	0.41843	5.9195	-0.00581
0.056	0.01674	0.41606	5.67114	-0.00962
0.057	0.01716	0.41352	5.42431	-0.01299
0.058	0.01761	0.41087	5.16631	-0.01582
0.059	0.01804	0.40818	4.91243	-0.01768
0.06	0.01847	0.40549	4.65393	-0.01844
0.061	0.01898	0.40287	4.39178	-0.01802
0.062	0.01942	0.40037	4.12845	-0.0162
0.063	0.01986	0.39804	3.86288	-0.01312
0.064	0.02039	0.39594	3.5942	-0.00892
0.065	0.02082	0.39411	3.32538	-0.00381
0.066	0.02131	0.39257	3.05122	0.00192
0.067	0.02179	0.39137	2.78061	0.0077
0.068	0.02229	0.39053	2.50454	0.01326
0.069	0.02278	0.39005	2.22812	0.01803
0.07	0.02328	0.38993	1.9537	0.02159
0.071	0.02379	0.39019	1.6757	0.02366
0.072	0.02435	0.39079	1.39788	0.02398
0.073	0.02481	0.39173	1.12188	0.02235
0.074	0.02541	0.39297	0.84431	0.01899
0.075	0.02595	0.39449	0.56667	0.01393
0.076	0.02647	0.39625	0.29097	0.00759
0.077	0.02708	0.39821	0.01426	0.00039
0.078	0.02765	0.40033	6.02276	-0.00712
0.079	0.02821	0.40257	5.74601	-0.01444
0.08	0.0288	0.40488	5.47303	-0.02087
0.081	0.0294	0.40723	5.19918	-0.02599
0.082	0.02999	0.40956	4.92382	-0.02932
0.083	0.03058	0.41184	4.65287	-0.03053
0.084	0.03116	0.41403	4.37933	-0.02945
0.085	0.0318	0.41607	4.1064	-0.02614
0.086	0.03235	0.41793	3.83439	-0.02066
0.087	0.03294	0.41959	3.56244	-0.01346
0.088	0.0336	0.42099	3.28983	-0.00496
0.089	0.03411	0.42212	3.01758	0.00422
0.09	0.03474	0.42294	2.74496	0.01342
0.091	0.03532	0.42345	2.47331	0.02189
0.092	0.03588	0.42362	2.19852	0.02904
0.093	0.03645	0.42344	1.9259	0.03417
0.094	0.037	0.42291	1.65199	0.03688
0.095	0.03754	0.42203	1.3752	0.03682
0.096	0.03809	0.42081	1.10037	0.03395
0.097	0.03855	0.41927	0.82258	0.02826
0.098	0.03914	0.41744	0.54451	0.02028
0.099	0.03958	0.41535	0.26471	0.01036
0.1	0.04006	0.41303	6.26696	-0.00065
0.101	0.04056	0.41054	5.98569	-0.01189
0.102	0.04096	0.40793	5.70136	-0.02251
0.103	0.04138	0.40527	5.41588	-0.03155
0.104	0.04177	0.40262	5.13102	-0.03816
0.105	0.04212	0.40004	4.8408	-0.04178
0.106	0.04245	0.39762	4.55191	-0.04191
0.107	0.04272	0.39542	4.26103	-0.03844
0.108	0.04303	0.3935	3.96815	-0.03165
0.109	0.04325	0.39192	3.67443	-0.02197
0.11	0.04342	0.39074	3.38049	-0.01027
0.111	0.04365	0.39	3.08503	0.00247
0.112	0.04373	0.38972	2.78996	0.01506
0.113	0.04384	0.38993	2.49379	0.02645
0.114	0.04388	0.39061	2.19919	0.0355
0.115	0.04392	0.39175	1.90446	0.0415
0.116	0.04388	0.39333	1.60921	0.04384
0.117	0.04381	0.39529	1.3179	0.04242
0.118	0.04372	0.39758	1.02538	0.03738
0.119	0.04358	0.40013	0.73499	0.02922
0.12	0.04337	0.40286	0.44708	0.01875
0.121	0.04315	0.4057	0.15996	0.00687
0.122	0.04292	0.40856	6.15816	-0.00535
0.123	0.04255	0.41135	5.87468	-0.0169
0.124	0.04224	0.41401	5.59348	-0.02688
0.125	0.04186	0.41646	5.31394	-0.03451
0.126	0.04141	0.41863	5.03495	-0.03927
0.127	0.04099	0.42047	4.75868	-0.04094
0.128	0.04049	0.42192	4.48442	-0.03944
0.129	0.04	0.42296	4.20863	-0.03503
0.13	0.03945	0.42355	3.93766	-0.02819
0.131	0.03888	0.42368	3.66556	-0.01945
0.132	0.03835	0.42336	3.39475	-0.0096
0.133	0.03772	0.42258	3.12518	0.00062
0.134	0.03708	0.42138	2.85612	0.01044
0.135	0.03656	0.41979	2.58807	0.01922
0.136	0.03583	0.41785	2.31915	0.02625
0.137	0.03525	0.41562	2.05214	0.03124
0.138	0.03462	0.41316	1.78546	0.03382
0.139	0.03397	0.41055	1.51749	0.03392
0.14	0.03337	0.40785	1.25145	0.03168
0.141	0.03274	0.40514	0.98621	0.0273
