#cube_id	region_begin 	region_end	peak_index	usable
10		6100		6350		0		0
449		5950		6250		9		0
80		5900		6100		11		0	
430		5900		6250		0		0
138		5000		5300		1		1
468		5200		5500		1		1
484		4800		5100		21		1
101		4800		5100		0		1
594		5950		6300		8		1
23		5900		6250		4		1
436		5950		6250		2		1
472		0		0		0		0
130		6300		6600		3		1
211		0		0		0		0
533		0		0		0		0
528		4800		5100		0		1
525		0		0		0		0
226		5800		6100		1		1
228		5800		6100		3		1
687		5700		5900		3		1	
337		0		0		0		0
518		0		0		0		0
713		4800		5400		0		1
548		0		0		0		0
462		0		0		0		0
129		6400		6650		3		1
552		6400		6600		8		1
81		0		0		0		0
145		5600		5700		1		1
607		6400		6500		4		1
151		0		0		0		0		
