#cube_id     region_begin 	region_end	peak_index	usability
1804         6100            	6250            0       	1 
1578         6100            	6300            0       	1 
849          4900            	5100            0       	1 
112          5800            	6000            0       	1 
286          5900            	6100            0       	1 
722          6400            	6800            1	        1
1            0              	0               0           	0 
5            6100               6300            0       	1 
767          6100               6350            0       	0 
764          7500               8000            1       	1
414          5100               5400            0       	1 
549          4900              	5100            0       	1 
760          7600               7900            3       	1 
765          5900               6100            0       	1 
540          0            	0           	0       	0
458          5900               6100            0       	1 
1068         0              	0            	0        	0 
769          7300           	7700            0       	0
486          4900               5100            0       	1 
541          0              	0            	0       	0 
357          0			0		0		0
1393         0                	0               0       	0 
695          0            	0               0       	0 
723          0           	0            	0	        0
879          0           	0               0       	0	 
1504         0            	0               0       	0 
490          0           	0               0       	0 
378          0           	0               0	        0 
361          0                  0               0	        0 
773          0	            	0		0	        0 
1469         7300            	7600            0       	1 
135          0              	0               0       	0 
1162         6500               6700            2	        1
1212         0           	0               0       	0 
1522         0	                0               0        	0
474          0            	0               0       	0 
1103         0 	          	0               0	        0 
6            0           	0               0	       	0 
1118         0            	0               0       	0
175          5500           	5800            1	        0
1129         5300           	5600            0       	1 
1107         0           	0               0	        0 
1052         0            	0               0	        0 
258          0            	0               0	        0
609          0            	0               0	        0  
1355         0            	0               0	        0  
