Peaks found on 2018-10-22 14:46:59.890482

Number    Wavelength 
0  5579.347377430609
1  5579.3474116476755
2  5858.885327358804
3  6038.3663506784405
4  6038.366493903117
5  6266.48027148095
6  6294.021825702985
7  6298.367994976333
8  6360.917742662547
9  6644.100451495808
10  6864.820496523111
11  7030.782632317085
12  7234.987043105442
13  7244.125336353807
14  7274.857935926014
15  7305.250269233056
16  7342.319603990855
17  7371.02861995443
18  7403.529199725535
19  7523.079088373818
20  7560.950321254336
21  7564.778848434522
22  7707.662690505456
23  7746.777675387887
24  7788.475337751227
25  7832.355457875092
26  7874.612080654162
27  7907.6597841167295
28  7908.055832973645
29  7958.8036296835435
30  7987.2365203366
31  8023.83868042053
32  8032.809406944821
33  8110.488666101318
34  8273.451771580627
35  8284.017739936473
36  8288.787942033234
37  8339.68597514518
38  8353.544402727517
39  8373.241790080468
40  8392.766730113828
41  8421.958018838113
42  8643.943442389302
43  8657.72534690623
44  8756.054374628193
45  8767.247952012824
46  8778.938441742508
47  8779.087009977404
48  8825.280491080011
49  8834.022898356436
50  8861.403619170294
51  8884.040817061685
52  8893.819004893854
53  8917.797624937182
54  8956.5124083856
55  8988.837811538853
56  9304.301494658446
57  9311.87538781129
58  9318.095630662117
59  9324.510542147967
60  9328.416338870971
