Peaks found on 2018-10-20 09:29:08.438092

Number    Index     Wavelength 
0  197   4996.04933763587
1  331   5163.594853940217
2  396   5244.866932744565
3  546   5432.417883831522
4  610   5512.439622961956
5  807   5758.756538722826
6  965   5956.310207201087
7  1002   6002.57277513587
8  1112   6140.110139266304
9  1239   6298.903277853261
10  1288   6360.169921875
11  1458   6572.727666440217
12  1524   6655.250084918478
13  1588   6735.271824048913
14  1666   6832.79831861413
15  1736   6920.322095788044
16  1816   7020.349269701087
17  1915   7144.132897418478
18  2033   7291.672978940218
19  2098   7372.945057744565
20  2211   7514.233440896739
21  2444   7805.562584918478
22  2546   7933.097231657608
23  2602   8003.116253396739
24  2672   8090.640030570652
25  2739   8174.412788722826
26  2833   8291.944718070652
27  2875   8344.458984375
28  2968   8460.740574048912
29  3050   8563.268427309782
30  3092   8615.78269361413
31  3335   8919.615234375
32  3402   9003.387992527174
33  3437   9047.14988111413
34  3644   9305.97019361413
35  3675   9344.730723505436
