Peaks found on 2018-10-20 10:48:50.425171

Number    Wavelength 
0  5022.78200915888
1  5022.782009225389
2  5212.079815966554
3  5563.64936202299
4  5571.07147813875
5  5848.40080452919
6  5888.443853497595
7  6287.238719758634
8  6299.602898701934
9  6363.258407870537
10  6550.607228328396
11  6682.139598419832
12  6746.662714541933
13  6870.079680284665
14  7284.846087759252
15  7593.244472197755
16  7712.02904146137
17  7760.630595773083
18  7842.757958699835
19  7912.5049551690945
20  8346.331678524119
21  8354.994960298494
22  8401.307400197284
23  8419.90101703676
24  8492.659760966548
25  8777.880560010597
26  8843.655462609273
27  8860.02753379716
28  8872.604687374494
29  8914.007713112655
30  8950.555314330182
31  8956.225501800964
32  8994.669019003857
33  9004.306066952497
34  9058.91759638933
35  9316.786922024417
36  9322.497888412681
37  9324.198273281008
38  9324.838216804981
